timestamp,proactive_action,pre_IIE_mean,pre_IIE_var,pre_ctx,pre_num_faces,pre_num_mutual_gaze,post_IIE_mean,post_IIE_var,post_ctx,post_num_faces,post_num_mutual_gaze,q_value,epsilon
1764944372.25,ao_greet,0.6486,0.0600,0,2,2,0.8058,0.0431,0,2,2,0.0000,0.8000
1764944413.25,ao_greet,0.8019,0.0407,0,2,2,0.6044,0.0739,0,2,2,0.0690,0.7661
1764944445.26,ao_greet,0.6076,0.0688,0,2,2,0.7535,0.0462,0,2,2,-0.0052,0.7336
1764944476.26,ao_coffee_break,0.7442,0.0478,0,2,2,0.3994,0.1204,0,2,2,0.0000,0.7025
1764944507.26,ao_coffee_break,0.6538,0.0627,0,2,2,0.7464,0.0497,1,2,2,-0.1590,0.6727
1764944533.27,ao_greet,0.7433,0.0513,1,2,2,0.6691,0.0454,0,2,2,0.0000,0.6442
1764944569.28,ao_greet,0.6673,0.0513,0,2,2,0.8483,0.1274,0,2,2,0.0561,0.6169
